Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Average depth found,Primary foraging behavior,Commercial status,Aquaculture status,Recreational status,IUCN status,Vulnerability score,Oceanographic province,Year of collection,Publication year,Reference,Quantified microplastic,Method type,Marine/estuarine,Equipment used,Capture purpose,Polymer confirmation,Blanks used,Clean lab procedures used
Platicephalus indicus,Bartail flathead,Scorpaeniformes,Platycephalidae,3.6,8,12,0.666666667,2.3,reef-associated ,110,Benthic foraging,commercial,Y,Y,DD,37,REDS,2015,2018,Abbasi et al. 2018,Y,3,estuarine,trawling,plastic study (not listed),SEM,lab blank,yes
Saurida tumbil,Greater lizardfish,Aulopiformes,Synodontidae,4.4,4,4,1,2.8,reef-associated ,40,Benthic foraging,commercial,N,N,LC,38,REDS,2015,2018,Abbasi et al. 2018,Y,3,estuarine,trawling,plastic study (not listed),SEM,lab blank,yes
Sillago sihama,Silver sillago,Perciformes,Sillaginidae,3.3,17,17,1,1.5,reef-associated,1,Benthic foraging,commercial,Y,N,LC,24,REDS,2015,2018,Abbasi et al. 2018,Y,3,estuarine,trawling,plastic study (not listed),SEM,lab blank,yes
Cynoglossus abbreviatus,Three-lined tounge sole,Pleuronectiformes,Cynoglossidae,3.5,11,11,1,2.9,demersal,52.5,Benthic foraging,commercial,N,N,Not assessed,47,REDS,2015,2018,Abbasi et al. 2018,Y,3,estuarine,trawling,plastic study (not listed),SEM,lab blank,yes
Galeus melastomus,Blackmouth catshark,Carcharhiniformes,Scyliorhinidae,4.2,21,125,0.168,0.05712,demersal,675,Active predation,minor commercial,N,N,LC,57,MEDI,2006,2017,Alomar and Deudero 2017,Y,2,marine,trawling,bycatch,FTIR,open-air lab control,not described
Mullus surmuletus,Surmullet,Perciformes,Mullidae,3.5,114,417,0.273381295,0.115,demersal,207,Benthic foraging,commercial,N,Y,LC,39,MEDI,Nov 2014 - Apr 2015,2017,Alomar et al. 2017,Y,2,marine,"bottom trawls, trammel fishing",plastic study (not listed),FTIR,open-air lab control,yes
Chelon auratus,Golden gray mullet,Mugiliformes,Mugilidae,2.8,19,20,0.95,9.45,pelagic-neritic,10,Benthic foraging,commercial,Y,N,LC,35,MEDI,2014-2015,2018,Anastasopoulou et al. 2018,Y,2,marine,various,"plastic study, commercial fishing",none,lab blank,yes
Mullus barbatus,Red mullet,Perciformes,Mullidae,3.1,8,25,0.32,0.5,demersal,200,Benthic foraging,commercial,N,Y,LC,29,MEDI,2014-2015,2018,Anastasopoulou et al. 2018,Y,2,marine,various,"plastic study, commercial fishing",none,lab blank,yes
Mullus surmuletus,Surmullet,Perciformes,Mullidae,3.5,21,30,0.7,1.8,demersal,207,Benthic foraging,commercial,N,Y,LC,39,MEDI,2014-2015,2018,Anastasopoulou et al. 2018,Y,2,marine,various,"plastic study, commercial fishing",none,lab blank,yes
Pagellus erythrinus,Common pandora,Perciformes,Sparidae,3.5,15,30,0.5,1,benthopelagic,60,Benthic foraging,commercial,N,Y,LC,40,MEDI,2014-2015,2018,Anastasopoulou et al. 2018,Y,2,marine,various,"plastic study, commercial fishing",none,lab blank,yes
Sardina pilchardus,European pilchard,Clupeiformes,Clupeidae,3.1,11,30,0.366666667,0.9,pelagic-neritic,100,Particulate feeder,highly commercial,N,N,LC,27,MEDI,2014-2015,2018,Anastasopoulou et al. 2018,Y,2,marine,various,"plastic study, commercial fishing",none,lab blank,yes
Scomber japonicus,Chub mackerel,Perciformes,Scombridae,3.4,16,37,0.432432432,1.243243243,pelagic-neritic,200,Particulate feeder,highly commercial,Y,Y,LC,34,MEDI,2014-2015,2018,Anastasopoulou et al. 2018,Y,2,marine,various,"plastic study, commercial fishing",none,lab blank,yes
Solea solea,Common sole,Pleuronectiformes,Soleidae,3.2,13,20,0.65,1.9,demersal,35,Benthic foraging,highly commercial,Y,Y,DD,36,MEDI,2014-2015,2018,Anastasopoulou et al. 2018,Y,2,marine,various,"plastic study, commercial fishing",none,lab blank,yes
Sparus aurata,Gilthead seabream,Perciformes,Sparidae,3.7,20,20,1,7.3,demersal,15.5,Benthic foraging,commercial,Y,Y,LC,40,MEDI,2014-2015,2018,Anastasopoulou et al. 2018,Y,2,marine,various,"plastic study, commercial fishing",none,lab blank,yes
Micropogonias furnieri,Whitemouth croaker,Perciformes,Sciaenidae,3.1,20,20,1,12.1,demersal,60,Benthic foraging,highly commercial,N,N,LC,31,FKLD,2018,2019,Arias et al. 2019,Y,3,marine,shrimp net,plastic study,none,lab blank,yes
