,Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Average depth found,Primary foraging behavior,Commercial status,Aquaculture status,Recreational status,IUCN status,Vulnerability score,Oceanographic province,Year of collection,Publication year,Reference,Quantified microplastic,Method type,Marine/estuarine,Equipment used,Capture purpose,Polymer confirmation,Blanks used,Clean lab procedures used,parsed_date,Risk_0_3,Risk_0_5,Risk_0_10,Risk_0pt5_5,Risk_0pt5_10,Risk_1_5,Risk_1_10,Risk_3_10,Risk_5_10
0,Platicephalus indicus,Bartail flathead,Scorpaeniformes,Platycephalidae,3.6,8.0,12.0,0.666666667,2.3,reef-associated ,110.0,Benthic foraging,commercial,Y,Y,DD,37.0,REDS,2015,2018,Abbasi et al. 2018,Y,3,estuarine,trawling,plastic study (not listed),SEM,lab blank,yes,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",1,1,1,1,1,1,1,0,0
1,Saurida tumbil,Greater lizardfish,Aulopiformes,Synodontidae,4.4,4.0,4.0,1.0,2.8,reef-associated ,40.0,Benthic foraging,commercial,N,N,LC,38.0,REDS,2015,2018,Abbasi et al. 2018,Y,3,estuarine,trawling,plastic study (not listed),SEM,lab blank,yes,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",1,1,1,1,1,1,1,0,0
2,Sillago sihama,Silver sillago,Perciformes,Sillaginidae,3.3,17.0,17.0,1.0,1.5,reef-associated,1.0,Benthic foraging,commercial,Y,N,LC,24.0,REDS,2015,2018,Abbasi et al. 2018,Y,3,estuarine,trawling,plastic study (not listed),SEM,lab blank,yes,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",1,1,1,1,1,1,1,0,0
3,Cynoglossus abbreviatus,Three-lined tounge sole,Pleuronectiformes,Cynoglossidae,3.5,11.0,11.0,1.0,2.9,demersal,52.5,Benthic foraging,commercial,N,N,Not assessed,47.0,REDS,2015,2018,Abbasi et al. 2018,Y,3,estuarine,trawling,plastic study (not listed),SEM,lab blank,yes,"(Timestamp('2015-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",1,1,1,1,1,1,1,0,0
4,Galeus melastomus,Blackmouth catshark,Carcharhiniformes,Scyliorhinidae,4.2,21.0,125.0,0.168,0.05712,demersal,675.0,Active predation,minor commercial,N,N,LC,57.0,MEDI,2006,2017,Alomar and Deudero 2017,Y,2,marine,trawling,bycatch,FTIR,open-air lab control,not described,"(Timestamp('2006-01-01 00:00:00'), Timestamp('2006-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
5,Mullus surmuletus,Surmullet,Perciformes,Mullidae,3.5,114.0,417.0,0.273381295,0.115,demersal,207.0,Benthic foraging,commercial,N,Y,LC,39.0,MEDI,November 2014-April 2015,2017,Alomar et al. 2017,Y,2,marine,"bottom trawls, trammel fishing",plastic study (not listed),FTIR,open-air lab control,yes,"(Timestamp('2014-11-01 00:00:00'), Timestamp('2015-04-01 00:00:00'))",1,1,1,0,0,0,0,0,0
6,Chelon auratus,Golden gray mullet,Mugiliformes,Mugilidae,2.8,19.0,20.0,0.95,9.45,pelagic-neritic,10.0,Benthic foraging,commercial,Y,N,LC,35.0,MEDI,2014-2015,2018,Anastasopoulou et al. 2018,Y,2,marine,various,"plastic study, commercial fishing",none,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",2,2,1,2,1,2,1,1,1
7,Mullus barbatus,Red mullet,Perciformes,Mullidae,3.1,8.0,25.0,0.32,0.5,demersal,200.0,Benthic foraging,commercial,N,Y,LC,29.0,MEDI,2014-2015,2018,Anastasopoulou et al. 2018,Y,2,marine,various,"plastic study, commercial fishing",none,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",1,1,1,0,0,0,0,0,0
8,Mullus surmuletus,Surmullet,Perciformes,Mullidae,3.5,21.0,30.0,0.7,1.8,demersal,207.0,Benthic foraging,commercial,N,Y,LC,39.0,MEDI,2014-2015,2018,Anastasopoulou et al. 2018,Y,2,marine,various,"plastic study, commercial fishing",none,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",1,1,1,1,1,1,1,0,0
9,Pagellus erythrinus,Common pandora,Perciformes,Sparidae,3.5,15.0,30.0,0.5,1.0,benthopelagic,60.0,Benthic foraging,commercial,N,Y,LC,40.0,MEDI,2014-2015,2018,Anastasopoulou et al. 2018,Y,2,marine,various,"plastic study, commercial fishing",none,lab blank,yes,"(Timestamp('2014-01-01 00:00:00'), Timestamp('2015-12-31 00:00:00'))",1,1,1,1,1,0,0,0,0
